name,studio,revenue,year
Star Wars,Fox,775.4,1977
E.T.: The Extra-Terrestrial,Uni.,792.9,1982
Jurassic Park,Uni.,1029.2,1993
The Lion King,BV,968.5,1994
Forrest Gump,Par.,677.9,1994
Independence Day,Fox,817.4,1996
Titanic,Par.,2186.8,1997
Star Wars: Episode I - The Phantom Menace,Fox,1027,1999
The Sixth Sense,BV,672.8,1999
Harry Potter and the Sorcerer's Stone,WB,974.8,2001
The Lord of the Rings: The Fellowship of the Ring,NL,871.5,2001
The Lord of the Rings: The Two Towers,NL,926,2002
Harry Potter and the Chamber of Secrets,WB,879,2002
Spider-Man,Sony,821.7,2002
Star Wars: Episode II - Attack of the Clones,Fox,649.4,2002
The Lord of the Rings: The Return of the King,NL,1119.9,2003
Finding Nemo,BV,940.3,2003
The Matrix Reloaded,WB,742.1,2003
Pirates of the Caribbean: The Curse of the Black Pearl,BV,654.3,2003
Shrek 2,DW,919.8,2004
Harry Potter and the Prisoner of Azkaban,WB,796.7,2004
Spider-Man 2,Sony,783.8,2004
Harry Potter and the Goblet of Fire,WB,896.9,2005
Star Wars: Episode III - Revenge of the Sith,Fox,848.8,2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,745,2005
Pirates of the Caribbean: Dead Man's Chest,BV,1066.2,2006
The Da Vinci Code,Sony,758.2,2006
Ice Age: The Meltdown,Fox,660.9,2006
Pirates of the Caribbean: At World's End,BV,963.4,2007
Harry Potter and the Order of the Phoenix,WB,939.9,2007
Spider-Man 3,Sony,890.9,2007
Shrek the Third,P/DW,799,2007
Transformers,P/DW,709.7,2007
The Dark Knight,WB,1004.6,2008
Indiana Jones and the Kingdom of the Crystal Skull,Par.,786.6,2008
Avatar,Fox,2788,2009
Harry Potter and the Half-Blood Prince,WB,934.4,2009
Ice Age: Dawn of the Dinosaurs,Fox,886.7,2009
Transformers: Revenge of the Fallen,P/DW,836.3,2009
2012,Sony,769.7,2009
Up,BV,735.1,2009
The Twilight Saga: New Moon,Sum.,709.7,2009
Toy Story 3,BV,1067,2010
Alice in Wonderland (2010),BV,1025.5,2010
Harry Potter and the Deathly Hallows Part 1,WB,960.3,2010
Inception,WB,825.5,2010
Shrek Forever After,P/DW,752.6,2010
The Twilight Saga: Eclipse,Sum.,698.5,2010
Harry Potter and the Deathly Hallows Part 2,WB,1341.5,2011
Transformers: Dark of the Moon,P/DW,1123.8,2011
Pirates of the Caribbean: On Stranger Tides,BV,1045.7,2011
The Twilight Saga: Breaking Dawn Part 1,Sum.,712.2,2011
Mission: Impossible - Ghost Protocol,Par.,694.7,2011
Kung Fu Panda 2,P/DW,665.7,2011
Marvel's The Avengers,BV,1519.6,2012
Skyfall,Sony,1108.6,2012
The Dark Knight Rises,WB,1084.9,2012
The Hobbit: An Unexpected Journey,WB (NL),1021.1,2012
Ice Age: Continental Drift,Fox,877.2,2012
The Twilight Saga: Breaking Dawn Part 2,LG/S,829.7,2012
The Amazing Spider-Man,Sony,757.9,2012
Madagascar 3: Europe's Most Wanted,P/DW,746.9,2012
The Hunger Games,LGF,694.4,2012
Frozen,BV,1276.5,2013
Iron Man 3,BV,1215.4,2013
Despicable Me 2,Uni.,970.8,2013
The Hobbit: The Desolation of Smaug,WB (NL),958.4,2013
The Hunger Games: Catching Fire,LGF,865,2013
Fast & Furious 6,Uni.,788.7,2013
Monsters University,BV,744.2,2013
Gravity,WB,723.2,2013
Man of Steel,WB,668,2013
Thor: The Dark World,BV,644.6,2013
Transformers: Age of Extinction,Par.,1104.1,2014
The Hobbit: The Battle of the Five Armies,WB (NL),956,2014
Guardians of the Galaxy,BV,773.3,2014
Maleficent,BV,758.5,2014
The Hunger Games: Mockingjay - Part 1,LGF,755.4,2014
X-Men: Days of Future Past,Fox,747.9,2014
Captain America: The Winter Soldier,BV,714.4,2014
Dawn of the Planet of the Apes,Fox,710.6,2014
The Amazing Spider-Man 2,Sony,709,2014
Interstellar,Par.,675.1,2014
Big Hero 6,BV,657.8,2014
Star Wars: The Force Awakens,BV,2068.2,2015
Jurassic World,Uni.,1670.4,2015
Furious 7,Uni.,1516,2015
Avengers: Age of Ultron,BV,1405.4,2015
Minions,Uni.,1159.4,2015
Spectre,Sony,880.7,2015
Inside Out,BV,857.6,2015
Mission: Impossible - Rogue Nation,Par.,682.3,2015
The Hunger Games: Mockingjay - Part 2,LGF,653.4,2015
Captain America: Civil War,BV,1152.3,2016
Zootopia,BV,1023.2,2016
The Jungle Book (2016),BV,955.5,2016
Finding Dory,BV,915.9,2016
Batman v Superman: Dawn of Justice,WB,872.7,2016
Deadpool,Fox,782.6,2016
The Secret Life of Pets,Uni.,674,2016
